model,accuracy,precision,recall,f1_score,directional_accuracy,confident_predictions_pct,hold_predictions_pct
random_forest,0.5773195876288659,0.46774193548387094,0.7837837837837838,0.5858585858585859,0.5773195876288659,91.75257731958763,8.24742268041237
gradient_boosting,0.5773195876288659,0.4666666666666667,0.7567567567567568,0.5773195876288659,0.5773195876288659,100.0,0.0
extra_trees,0.5670103092783505,0.4647887323943662,0.8918918918918919,0.6111111111111112,0.5670103092783505,88.65979381443299,11.34020618556701
xgboost,0.5257731958762887,0.4262295081967213,0.7027027027027027,0.5306122448979592,0.5257731958762887,90.72164948453609,9.278350515463918
